Value.Item1.X,Value.Item1.Y,Value.Item2,Timestamp
NaN,NaN,False,2024-07-23T17:34:56.0826240+01:00
22.1830597,1033.7937,False,2024-07-23T17:34:56.1022592+01:00
NaN,NaN,False,2024-07-23T17:34:56.1195264+01:00
NaN,NaN,False,2024-07-23T17:34:56.1350656+01:00
NaN,NaN,False,2024-07-23T17:34:56.1506944+01:00
NaN,NaN,False,2024-07-23T17:34:56.1665280+01:00
NaN,NaN,False,2024-07-23T17:34:56.1812096+01:00
NaN,NaN,False,2024-07-23T17:34:56.1964416+01:00
NaN,NaN,False,2024-07-23T17:34:56.2116352+01:00
NaN,NaN,False,2024-07-23T17:34:56.2275840+01:00
NaN,NaN,False,2024-07-23T17:34:56.2424192+01:00
NaN,NaN,False,2024-07-23T17:34:56.2573952+01:00
NaN,NaN,False,2024-07-23T17:34:56.2728064+01:00
NaN,NaN,False,2024-07-23T17:34:56.2867712+01:00
NaN,NaN,False,2024-07-23T17:34:56.3012864+01:00
NaN,NaN,False,2024-07-23T17:34:56.3149952+01:00
717.515564,39.1584778,False,2024-07-23T17:34:56.3297664+01:00
667.661804,100.467087,False,2024-07-23T17:34:56.3442816+01:00
625.981812,156.701126,False,2024-07-23T17:34:56.3599232+01:00
578.697571,190.578751,False,2024-07-23T17:34:56.3741952+01:00
550.840637,226.471603,False,2024-07-23T17:34:56.3878272+01:00
528.06488,253.995758,False,2024-07-23T17:34:56.4017536+01:00
510.385284,272.55188,False,2024-07-23T17:34:56.4166912+01:00
499.517609,276.081116,False,2024-07-23T17:34:56.4312576+01:00
492.582764,272.565552,False,2024-07-23T17:34:56.4465024+01:00
490.777618,264.898529,False,2024-07-23T17:34:56.4610560+01:00
495.988403,258.912781,False,2024-07-23T17:34:56.4765312+01:00
502.373413,253.003311,False,2024-07-23T17:34:56.4898176+01:00
508.563904,248.859589,False,2024-07-23T17:34:56.5055744+01:00
516.619934,245.158524,False,2024-07-23T17:34:56.5190144+01:00
524.368652,243.909943,False,2024-07-23T17:34:56.5339776+01:00
529.564453,258.932709,False,2024-07-23T17:34:56.5479424+01:00
536.442932,271.550995,False,2024-07-23T17:34:56.5630976+01:00
544.831726,295.393127,False,2024-07-23T17:34:56.5789312+01:00
548.548096,312.560486,False,2024-07-23T17:34:56.5926912+01:00
548.975464,337.49942,False,2024-07-23T17:34:56.6084736+01:00
545.297546,363.481964,False,2024-07-23T17:34:56.6230528+01:00
534.120911,60.4595604,False,2024-07-23T17:34:56.6379392+01:00
559.747314,40.6431541,False,2024-07-23T17:34:56.6529280+01:00
548.28949,102.845329,False,2024-07-23T17:34:56.6671744+01:00
563.675232,86.2069244,False,2024-07-23T17:34:56.6829056+01:00
581.675232,46.3139343,False,2024-07-23T17:34:56.6983040+01:00
585.977051,62.1321716,False,2024-07-23T17:34:56.7121280+01:00
595.777527,65.9778366,False,2024-07-23T17:34:56.7282048+01:00
581.659424,106.150139,False,2024-07-23T17:34:56.7431040+01:00
595.327637,47.5885506,False,2024-07-23T17:34:56.7581696+01:00
603.258179,23.7451916,False,2024-07-23T17:34:56.7724160+01:00
605.381531,34.6591911,False,2024-07-23T17:34:56.7878656+01:00
604.146179,51.5661392,False,2024-07-23T17:34:56.8146944+01:00
593.376221,459.493103,False,2024-07-23T17:34:56.8318720+01:00
595.250183,461.422455,False,2024-07-23T17:34:56.8479104+01:00
595.661987,460.298431,False,2024-07-23T17:34:56.8624768+01:00
593.14209,459.215881,False,2024-07-23T17:34:56.8784000+01:00
596.046692,456.429565,False,2024-07-23T17:34:56.8958080+01:00
608.86322,446.964783,False,2024-07-23T17:34:56.9126144+01:00
NaN,NaN,False,2024-07-23T17:34:56.9277952+01:00
NaN,NaN,False,2024-07-23T17:34:56.9436160+01:00
NaN,NaN,False,2024-07-23T17:34:56.9589632+01:00
554.169678,453.367432,False,2024-07-23T17:34:56.9743232+01:00
568.409058,434.451294,False,2024-07-23T17:34:56.9889024+01:00
568.944946,430.056549,False,2024-07-23T17:34:57.0036992+01:00
565.745422,428.562225,False,2024-07-23T17:34:57.0174848+01:00
567.454651,424.040131,False,2024-07-23T17:34:57.0315008+01:00
566.771729,421.6539,False,2024-07-23T17:34:57.0446848+01:00
565.519287,419.005646,False,2024-07-23T17:34:57.0584448+01:00
564.611389,415.850616,False,2024-07-23T17:34:57.0732544+01:00
563.123535,413.243988,False,2024-07-23T17:34:57.0878208+01:00
561.577637,409.214844,False,2024-07-23T17:34:57.1011584+01:00
561.542419,404.360596,False,2024-07-23T17:34:57.1155328+01:00
559.891113,400.469177,False,2024-07-23T17:34:57.1294976+01:00
557.438843,399.171539,False,2024-07-23T17:34:57.1429760+01:00
