Value.Item1.X,Value.Item1.Y,Value.Item2,Timestamp
NaN,NaN,False,2024-07-23T17:39:14.1095552+01:00
12.2777777,5.13626814,False,2024-07-23T17:39:14.1262080+01:00
NaN,NaN,False,2024-07-23T17:39:14.1503488+01:00
NaN,NaN,False,2024-07-23T17:39:14.1637760+01:00
10.3782053,4.81410265,False,2024-07-23T17:39:14.1786240+01:00
NaN,NaN,False,2024-07-23T17:39:14.1926912+01:00
13.8952637,4.74134779,False,2024-07-23T17:39:14.2090112+01:00
11.5094166,5.44538593,False,2024-07-23T17:39:14.2224896+01:00
16.549612,4.71317816,False,2024-07-23T17:39:14.2380032+01:00
34.5742874,4.60571432,False,2024-07-23T17:39:14.2519936+01:00
23.2249527,5.09682083,False,2024-07-23T17:39:14.2660352+01:00
22.8105946,5.10058832,False,2024-07-23T17:39:14.2788224+01:00
28.6929092,4.77163887,False,2024-07-23T17:39:14.2924800+01:00
17.6694336,5.62102365,False,2024-07-23T17:39:14.3063168+01:00
20.037096,5.3740859,False,2024-07-23T17:39:14.3206272+01:00
22.6168175,5.63892508,False,2024-07-23T17:39:14.3338240+01:00
19.8445778,5.6831584,False,2024-07-23T17:39:14.3470208+01:00
25.1682758,5.12689638,False,2024-07-23T17:39:14.3627392+01:00
28.8648949,5.16500568,False,2024-07-23T17:39:14.3767680+01:00
26.4376678,5.47487545,False,2024-07-23T17:39:14.3907712+01:00
23.477272,5.43139744,False,2024-07-23T17:39:14.4038528+01:00
22.4827118,5.31627464,False,2024-07-23T17:39:14.4168320+01:00
40.2913017,4.98191023,False,2024-07-23T17:39:14.4313088+01:00
33.5846138,5.25188541,False,2024-07-23T17:39:14.4445184+01:00
554.557129,124.523369,False,2024-07-23T17:39:14.4588928+01:00
552.700317,209.135605,False,2024-07-23T17:39:14.4722048+01:00
552.848877,275.413574,False,2024-07-23T17:39:14.4881536+01:00
28.2512417,5.21000385,False,2024-07-23T17:39:14.5026176+01:00
622.861084,49.772892,False,2024-07-23T17:39:14.5170816+01:00
608.142456,87.6620483,False,2024-07-23T17:39:14.5300864+01:00
550.498047,421.589417,False,2024-07-23T17:39:14.5435520+01:00
552.838806,426.799286,False,2024-07-23T17:39:14.5582720+01:00
595.904297,52.9843178,False,2024-07-23T17:39:14.5730560+01:00
585.57135,95.8985138,False,2024-07-23T17:39:14.5879808+01:00
584.489258,106.377319,False,2024-07-23T17:39:14.6014336+01:00
586.386536,105.620338,False,2024-07-23T17:39:14.6154752+01:00
590.425781,111.774895,False,2024-07-23T17:39:14.6286976+01:00
598.363647,113.899384,False,2024-07-23T17:39:14.6437760+01:00
599.681274,117.989326,False,2024-07-23T17:39:14.6573312+01:00
603.208801,123.98127,False,2024-07-23T17:39:14.6716288+01:00
607.311584,128.151596,False,2024-07-23T17:39:14.6857216+01:00
607.212158,130.698792,False,2024-07-23T17:39:14.6995968+01:00
605.804504,131.043304,False,2024-07-23T17:39:14.7133568+01:00
603.942261,131.920853,False,2024-07-23T17:39:14.7278464+01:00
602.044189,132.995117,False,2024-07-23T17:39:14.7423488+01:00
605.658752,130.174728,False,2024-07-23T17:39:14.7562880+01:00
605.95575,129.662277,False,2024-07-23T17:39:14.7709184+01:00
606.78186,127.818314,False,2024-07-23T17:39:14.7839232+01:00
709.378906,4.44408274,False,2024-07-23T17:39:14.7981568+01:00
604.748413,124.026131,False,2024-07-23T17:39:14.8112896+01:00
602.878967,123.952148,False,2024-07-23T17:39:14.8248576+01:00
711.645142,3.63093781,False,2024-07-23T17:39:14.8388992+01:00
704.538513,4.11303091,False,2024-07-23T17:39:14.8531968+01:00
701.492676,4.42391682,False,2024-07-23T17:39:14.8668160+01:00
32.8374367,5.19605923,False,2024-07-23T17:39:14.8796800+01:00
693.549316,4.61345863,False,2024-07-23T17:39:14.8946176+01:00
689.870789,4.80576229,False,2024-07-23T17:39:14.9087488+01:00
574.204346,123.150986,False,2024-07-23T17:39:14.9235968+01:00
