Value.Item1.X,Value.Item1.Y,Value.Item2,Timestamp
NaN,NaN,False,2024-07-23T17:54:38.4941056+01:00
NaN,NaN,False,2024-07-23T17:54:38.5272960+01:00
NaN,NaN,False,2024-07-23T17:54:38.5584640+01:00
NaN,NaN,False,2024-07-23T17:54:38.5890688+01:00
NaN,NaN,False,2024-07-23T17:54:38.6262528+01:00
NaN,NaN,False,2024-07-23T17:54:38.6578048+01:00
NaN,NaN,False,2024-07-23T17:54:38.6874624+01:00
NaN,NaN,False,2024-07-23T17:54:38.7168640+01:00
NaN,NaN,False,2024-07-23T17:54:38.7440512+01:00
NaN,NaN,False,2024-07-23T17:54:38.7751168+01:00
NaN,NaN,False,2024-07-23T17:54:38.8043136+01:00
NaN,NaN,False,2024-07-23T17:54:38.8329088+01:00
NaN,NaN,False,2024-07-23T17:54:38.8631424+01:00
NaN,NaN,False,2024-07-23T17:54:38.8906624+01:00
NaN,NaN,False,2024-07-23T17:54:38.9231232+01:00
NaN,NaN,False,2024-07-23T17:54:38.9523456+01:00
NaN,NaN,False,2024-07-23T17:54:38.9844224+01:00
NaN,NaN,False,2024-07-23T17:54:39.0182144+01:00
NaN,NaN,False,2024-07-23T17:54:39.0494976+01:00
NaN,NaN,False,2024-07-23T17:54:39.0796800+01:00
NaN,NaN,False,2024-07-23T17:54:39.1105152+01:00
NaN,NaN,False,2024-07-23T17:54:39.1420416+01:00
NaN,NaN,False,2024-07-23T17:54:39.1737600+01:00
NaN,NaN,False,2024-07-23T17:54:39.2073344+01:00
NaN,NaN,False,2024-07-23T17:54:39.2498304+01:00
NaN,NaN,False,2024-07-23T17:54:39.2821632+01:00
NaN,NaN,False,2024-07-23T17:54:39.3094400+01:00
NaN,NaN,False,2024-07-23T17:54:39.3380224+01:00
NaN,NaN,False,2024-07-23T17:54:39.3655552+01:00
NaN,NaN,False,2024-07-23T17:54:39.3952384+01:00
12.7097197,729.14679,False,2024-07-23T17:54:39.4327680+01:00
40.1754913,717.664734,False,2024-07-23T17:54:39.4683008+01:00
51.9292946,735.672424,False,2024-07-23T17:54:39.4979072+01:00
NaN,NaN,False,2024-07-23T17:54:39.5416960+01:00
17.7041798,29.0010719,False,2024-07-23T17:54:39.5721344+01:00
